molecule_chembl_id,canonical_smiles,standard_value,standard_units,standard_relation
CHEMBL76135,C[C@@]12CCN(Cc3ccccc3)C1N(Cc1ccccc1)c1ccc(OC(=O)Nc3ccccc3)cc12,41130.0,nM,=
CHEMBL440497,CNC(=O)Oc1ccc2c(c1)[C@@]1(C)CCN(Cc3ccccc3)C1N2Cc1ccccc1,3560.0,nM,=
CHEMBL368196,Nc1c2c(nc3cccc(Cl)c13)C1CCC2C1,42.2,nM,=
CHEMBL62084,Nc1c2c(nc3ccc(Cl)cc13)CCCC2,743.0,nM,=
CHEMBL172118,Nc1c2c(nc3ccc(Cl)cc13)C1CCC2C1,1100.0,nM,=
CHEMBL1202875,Cl.Cl.O.c1ccc(CN2CCC(CCOc3ccc(-c4ccccc4)nn3)CC2)cc1,710.0,nM,=
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,143.0,nM,=
CHEMBL62084,Nc1c2c(nc3ccc(Cl)cc13)CCCC2,3680.0,nM,=
CHEMBL134057,Nc1c2c(nc3cccc(Cl)c13)CCCC2,39.0,nM,=
CHEMBL436367,Nc1c2c(nc3c1CCCO3)CCCC2,455.0,nM,=
CHEMBL132365,COc1cccc2nc3c(c(N)c12)CCCC3,615.0,nM,=
CHEMBL3215535,Cl.Cl.c1ccc(CN2CCC(CCNc3ccc(-c4ccccc4)nn3)CC2)cc1,140.0,nM,=
CHEMBL1202865,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CCC4)CC2)cc1,120.0,nM,=
CHEMBL133520,Nc1c2c(nc3cccc(F)c13)OCCC2,335.0,nM,=
CHEMBL130373,Nc1c2c(nc3cnccc13)OCCC2,42.0,nM,=
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,95.0,nM,=
CHEMBL1202884,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4ccc5ccccc5c4nn3)CC2)cc1,190.0,nM,=
CHEMBL263198,Nc1c2c(nc3c1CCCC3)CCCC2,360.0,nM,=
CHEMBL133906,Cc1cccc2nc3c(c(N)c12)CCCC3,99.0,nM,=
CHEMBL1204162,Cl.O.c1ccc(CN2CCC(CCN=c3cc4c(n[nH]3)-c3ccccc3C4)CC2)cc1,74.0,nM,=
CHEMBL134240,Nc1c2c(nc3ccc(Cl)cc13)OCCC2,9810.0,nM,=
CHEMBL132030,Nc1c2c(nc3cccc(F)c13)CCCC2,78.0,nM,=
CHEMBL133448,Nc1c2c(nc3ncccc13)CCCC2,429.0,nM,=
CHEMBL130880,Nc1c2c(nc3c1CCC3)CCCC2,658.0,nM,=
CHEMBL1202874,Cl.Cl.c1ccc(CN2CCC(CCSc3ccc(-c4ccccc4)nn3)CC2)cc1,470.0,nM,=
CHEMBL133441,Nc1c2c(nc3ncccc13)OCCC2,6262.0,nM,=
CHEMBL130427,Nc1c2c(nc3cnccc13)CCCC2,2600.0,nM,=
CHEMBL134154,COc1cccc2nc3c(c(N)c12)CCCO3,606.0,nM,=
CHEMBL132260,Nc1c2c(nc3ccccc13)OCCC2,266.0,nM,=
CHEMBL1204299,Cc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1.Cl.Cl.O,39.0,nM,=
CHEMBL1204296,CCc1cc(=NCCC2CCN(Cc3ccccc3)CC2)[nH]nc1-c1ccccc1.Cl.Cl.O,66.0,nM,=
CHEMBL1202885,Cl.Cl.O.c1ccc(CN2CCC(CCNc3cc4c(nn3)-c3ccccc3CC4)CC2)cc1,190.0,nM,=
